block_id,block_name,block_name,GaPa_NaPa,Compound_Score,Risk_Category,Degradation_Rate,Trend_Status
67,Rupani,Unknown,Unknown,0.5302248863064644,Moderate,2.4385741526775564,Worsening
68,Shambhunath,Unknown,Unknown,0.49455698871968734,Low,2.0121991182036147,Worsening
69,Bode Barsain,Unknown,Unknown,0.5188560762549834,Moderate,1.7502406175536684,Worsening
70,Shambhunath,Unknown,Unknown,0.4941228481641193,Low,1.8299481785405174,Worsening
71,Shambhunath,Unknown,Unknown,0.6074126884747908,Critical,1.6841346905465635,Worsening
72,Tilathi Koiladi,Unknown,Unknown,0.4851841067758623,Low,2.8359142857562905,Worsening
73,Tilathi Koiladi,Unknown,Unknown,0.5251792043139305,Moderate,2.695728851392237,Worsening
74,Surunga,Unknown,Unknown,0.5620422736287,Critical,1.3636992350057997,Worsening
75,Surunga,Unknown,Unknown,0.49489971976875263,Low,1.3945743924518774,Worsening
76,Tilathi Koiladi,Unknown,Unknown,0.5403584635895459,High,2.809896123018868,Worsening
77,Tirahut,Unknown,Unknown,0.5212926211562645,Moderate,2.294907020510374,Worsening
78,Surunga,Unknown,Unknown,0.5176260838006356,Moderate,1.3505653966292335,Worsening
79,Hanumannagar Kankalini,Unknown,Unknown,0.5780874876968589,Critical,2.5290324767994923,Worsening
80,Mahadeva,Unknown,Unknown,0.5575040558965776,High,2.464513926220054,Worsening
81,Tirahut,Unknown,Unknown,0.5160700276974806,Moderate,1.959422898655004,Worsening
82,Surunga,Unknown,Unknown,0.5095224812772621,Low,1.6979852764332375,Worsening
83,Balan Bihul,Unknown,Unknown,0.49915927062231014,Low,1.5322928855432874,Worsening
84,Surunga,Unknown,Unknown,0.508723234786416,Low,1.6426783423085258,Worsening
85,Balan Bihul,Unknown,Unknown,0.5112947037644342,Low,1.4045460787846213,Worsening
86,Rajbiraj,Unknown,Unknown,0.5297633265838614,Moderate,2.4397718461691014,Worsening
87,Bode Barsain,Unknown,Unknown,0.5163837041752306,Moderate,1.5877626624751453,Worsening
88,Balan Bihul,Unknown,Unknown,0.507540456785573,Low,1.3599689773409165,Worsening
89,Shambhunath,Unknown,Unknown,0.4912065845044039,Low,1.9514491952468866,Worsening
90,Shambhunath,Unknown,Unknown,0.48369877007623713,Low,1.9053943554564556,Worsening
91,Rupani,Unknown,Unknown,0.5198610530557286,Moderate,2.136343454028114,Worsening
92,Rupani,Unknown,Unknown,0.5008387917467829,Low,1.8765770218942381,Worsening
93,Belhi Chapena,Unknown,Unknown,0.5417702283641104,High,2.5753131257615864,Worsening
94,Bode Barsain,Unknown,Unknown,0.5054110651454953,Low,1.703102588732018,Worsening
95,Saptakoshi,Unknown,Unknown,0.5,Low,0.6314494281846424,Worsening
96,Saptakoshi,Unknown,Unknown,0.536378900043922,High,0.7091966807626054,Worsening
97,Saptakoshi,Unknown,Unknown,0.5238128217078514,Moderate,0.6346257306349642,Worsening
98,Mahadeva,Unknown,Unknown,0.5354141144295119,High,2.494317653776797,Worsening
99,Khadak,Unknown,Unknown,0.5811473415305735,Critical,1.5504893374974817,Worsening
100,Saptakoshi,Unknown,Unknown,0.6068094211122138,Critical,0.961518573653575,Worsening
101,Saptakoshi,Unknown,Unknown,0.5852335934893381,Critical,0.8513036353867939,Worsening
102,Saptakoshi,Unknown,Unknown,0.5031172912064678,Low,0.7064786153343479,Worsening
103,Saptakoshi,Unknown,Unknown,0.5734797935338312,Critical,0.9049184690500937,Worsening
104,Saptakoshi,Unknown,Unknown,0.6305469744164948,Critical,0.9411893425755887,Worsening
105,Bode Barsain,Unknown,Unknown,0.5067953280561521,Low,1.4640152142381069,Worsening
106,Bode Barsain,Unknown,Unknown,0.5230100634049611,Moderate,1.56215370954539,Worsening
107,Surunga,Unknown,Unknown,0.5407852240620447,High,1.2790051763632824,Worsening
108,Hanumannagar Kankalini,Unknown,Unknown,0.5562802728496896,High,2.3304235712647148,Worsening
109,Agnisair Krishna Savaran,Unknown,Unknown,0.507947298201609,Low,2.3014857181708974,Worsening
110,Rajbiraj,Unknown,Unknown,0.5032631592777466,Low,2.1643214771980217,Worsening
111,Rajbiraj,Unknown,Unknown,0.5303370536090708,High,2.40024421848669,Worsening
112,Rajbiraj,Unknown,Unknown,0.49236608522394,Low,2.1269828832587283,Worsening
113,Rajbiraj,Unknown,Unknown,0.49342505183964475,Low,2.135849063577545,Worsening
114,Rajbiraj,Unknown,Unknown,0.49818013925572846,Low,2.4040752845744824,Worsening
115,Rajbiraj,Unknown,Unknown,0.49894399623780683,Low,2.2068724329162412,Worsening
116,Rajbiraj,Unknown,Unknown,0.5058166102726783,Low,2.257635780124378,Worsening
117,Rajbiraj,Unknown,Unknown,0.5164703745645913,Moderate,2.327664435118782,Worsening
118,Balan Bihul,Unknown,Unknown,0.49825409410279364,Low,1.3992695524506726,Worsening
119,Shambhunath,Unknown,Unknown,0.48988077057772395,Low,1.9104785438159784,Worsening
120,Shambhunath,Unknown,Unknown,0.48115960374244143,Low,1.94912413855624,Worsening
121,Hanumannagar Kankalini,Unknown,Unknown,0.515676738767403,Moderate,2.580392171084033,Worsening
122,Balan Bihul,Unknown,Unknown,0.5162862718894655,Moderate,1.3691301695653857,Worsening
123,Tilathi Koiladi,Unknown,Unknown,0.5439109552032111,High,2.743860157232398,Worsening
124,Bode Barsain,Unknown,Unknown,0.49124173004009947,Low,1.5965130738545068,Worsening
125,Shambhunath,Unknown,Unknown,0.500907648429789,Low,1.8753216130395707,Worsening
126,Khadak,Unknown,Unknown,0.505301320052128,Low,1.794605389866454,Worsening
127,Khadak,Unknown,Unknown,0.495121538472409,Low,1.7674408247016982,Worsening
128,Agnisair Krishna Savaran,Unknown,Unknown,0.56357845476434,Critical,2.190202481101583,Worsening
129,Dakneshwori,Unknown,Unknown,0.5329116905455022,High,1.9453582439063095,Worsening
130,Rupani,Unknown,Unknown,0.57449778648355,Critical,1.9917713852069734,Worsening
131,Surunga,Unknown,Unknown,0.49920258635525266,Low,1.637330850903729,Worsening
132,Tilathi Koiladi,Unknown,Unknown,0.5311805095113022,High,2.717216477345652,Worsening
133,Tirahut,Unknown,Unknown,0.5419741691425715,High,2.2555615664660182,Worsening
134,Saptakoshi,Unknown,Unknown,0.5306091878046272,High,0.5738250235597053,Worsening
135,Koshi Tappu,Unknown,Unknown,0.5203284311334487,Moderate,1.1349508993915804,Worsening
136,Kanchanrup,Unknown,Unknown,0.4893875816916421,Low,1.264458622065449,Worsening
137,Khadak,Unknown,Unknown,0.48492048899080825,Low,1.6387657293946467,Worsening
138,Saptakoshi,Unknown,Unknown,0.5630252200649706,Critical,0.946362987232618,Worsening
139,Kanchanrup,Unknown,Unknown,0.5939481776695121,Critical,1.7853904366394775,Worsening
140,Khadak,Unknown,Unknown,0.501850867832563,Low,1.438442187798084,Worsening
141,Khadak,Unknown,Unknown,0.5862370538346316,Critical,1.4547628557139851,Worsening
142,Khadak,Unknown,Unknown,0.5923003333745157,Critical,1.5109041379466532,Worsening
143,Belhi Chapena,Unknown,Unknown,0.49808424565789,Low,2.2843077002307,Worsening
144,Bishnupur,Unknown,Unknown,0.5094853813513356,Low,2.3059073843290356,Worsening
145,Bishnupur,Unknown,Unknown,0.5138464852582639,Moderate,2.328219582287067,Worsening
146,Rupani,Unknown,Unknown,0.5005480140258226,Low,2.3153385535107076,Worsening
147,Agnisair Krishna Savaran,Unknown,Unknown,0.5171437679908255,Moderate,2.332325392822192,Worsening
148,Chhinnamasta,Unknown,Unknown,0.5692804621111288,Critical,2.8135547583057385,Worsening
149,Chhinnamasta,Unknown,Unknown,0.5562978106323733,High,2.662682288232191,Worsening
150,Chhinnamasta,Unknown,Unknown,0.5601280203828396,Critical,2.910243774494161,Worsening
151,Bishnupur,Unknown,Unknown,0.5466880316154799,High,2.3956168378658638,Worsening
152,Bishnupur,Unknown,Unknown,0.5319500725634121,High,2.5318077103985392,Worsening
153,Bishnupur,Unknown,Unknown,0.5546933891470516,High,2.5980112685162355,Worsening
